experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,ecies_p256_unwrap_32b_doc_key,6,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.666882,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,7,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.286629,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,8,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.603334,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,9,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.293919,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,ecies_p256_unwrap_32b_doc_key,10,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,125,0.485393,32,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key and decrypts AES-GCM wrapped document key.
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.204815,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.059385,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.128238,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.036903,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.036053,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,6,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.035275,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,7,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.079053,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,8,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.033201,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,9,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.033983,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,rsa_oaep_2048_wrap_32b_doc_key,10,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.037011,256,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. RSA-OAEP SHA-256, 2048-bit modulus."
exp6_crypto,aes_256_gcm_encrypt_1mb,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,1.083203,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,0.741891,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,0.595617,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,0.539649,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,0.765513,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,6,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,0.666954,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,aes_256_gcm_encrypt_1mb,7,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,1048576,0.582546,1048592,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
